order_line_id,order_id,customer_id,product_id,quantity,unit_price,order_ts,status,updated_at
OL-000300000,ORD-00100000,CUST-002874,PROD-0883,7,2553.7,2026-08-12 08:00:00,shipped,2026-09-02 12:00:00
OL-000300001,ORD-00100000,CUST-000120,PROD-0231,7,1173.75,2026-09-02 09:00:00,shipped,2026-09-02 13:00:00
OL-000300002,ORD-00100000,CUST-003173,PROD-0527,1,588.84,2026-09-02 10:00:00,delivered,2026-09-02 14:00:00
OL-000300003,ORD-00100001,CUST-001551,PROD-0606,5,3365.63,2026-09-02 11:00:00,delivered,2026-09-02 15:00:00
OL-000300004,ORD-00100001,CUST-001388,PROD-0862,6,1796.77,2026-09-02 12:00:00,shipped,2026-09-02 16:00:00
OL-000300005,ORD-00100001,CUST-000287,PROD-0603,3,644.21,2026-09-02 13:00:00,placed,2026-09-02 17:00:00
OL-000300006,ORD-00100002,CUST-002562,PROD-0842,6,624.11,2026-09-02 14:00:00,cancelled,2026-09-02 18:00:00
OL-000300007,ORD-00100002,CUST-000393,PROD-0489,1,1732.5,2026-09-02 15:00:00,delivered,2026-09-02 19:00:00
OL-000300008,ORD-00100002,CUST-001059,PROD-0766,4,1002.62,2026-09-02 16:00:00,shipped,2026-09-02 12:00:00
OL-000300009,ORD-00100003,CUST-003935,PROD-0837,1,323.32,2026-09-02 17:00:00,delivered,2026-09-02 13:00:00
OL-000300010,ORD-00100003,CUST-002846,PROD-0755,1,3576.67,2026-09-02 18:00:00,delivered,2026-09-02 14:00:00
OL-000300011,ORD-00100003,CUST-001929,PROD-0646,6,1849.33,2026-09-02 19:00:00,delivered,2026-09-02 15:00:00
OL-000300012,ORD-00100004,CUST-001981,PROD-0467,9,824.75,2026-09-02 08:00:00,cancelled,2026-09-02 16:00:00
OL-000300013,ORD-00100004,CUST-003987,PROD-0860,6,3004.06,2026-09-02 09:00:00,delivered,2026-09-02 17:00:00
OL-000300014,ORD-00100004,CUST-000915,PROD-0015,5,856.02,2026-09-02 10:00:00,delivered,2026-09-02 18:00:00
OL-000300015,ORD-00100005,CUST-003869,PROD-0366,9,2662.18,2026-09-02 11:00:00,delivered,2026-09-02 19:00:00
OL-000300016,ORD-00100005,CUST-001394,PROD-0116,7,641.91,2026-09-02 12:00:00,delivered,2026-09-02 12:00:00
OL-000300017,ORD-00100005,CUST-003116,PROD-0050,1,4794.94,2026-09-02 13:00:00,delivered,2026-09-02 13:00:00
OL-000300018,ORD-00100006,CUST-000735,PROD-0658,8,693.25,2026-09-02 14:00:00,delivered,2026-09-02 14:00:00
OL-000300019,ORD-00100006,CUST-001203,PROD-0661,1,3019.9,2026-09-02 15:00:00,placed,2026-09-02 15:00:00
OL-000300020,ORD-00100006,CUST-001122,PROD-0183,2,151.54,2026-09-02 16:00:00,delivered,2026-09-02 16:00:00
OL-000300021,ORD-00100007,CUST-003403,PROD-0063,4,4135.68,2026-09-02 17:00:00,shipped,2026-09-02 17:00:00
OL-000300022,ORD-00100007,CUST-002099,PROD-0770,5,4676.36,2026-09-02 18:00:00,delivered,2026-09-02 18:00:00
OL-000300023,ORD-00100007,CUST-001998,PROD-0067,6,2676.88,2026-09-02 19:00:00,shipped,2026-09-02 19:00:00
OL-000300024,ORD-00100008,CUST-001238,PROD-0561,5,1997.44,2026-09-02 08:00:00,delivered,2026-09-02 12:00:00
OL-000300025,ORD-00100008,CUST-001033,PROD-0135,8,460.58,2026-09-02 09:00:00,delivered,2026-09-02 13:00:00
OL-000300026,ORD-00100008,CUST-001809,PROD-0406,3,468.01,2026-09-02 10:00:00,delivered,2026-09-02 14:00:00
OL-000300027,ORD-00100009,CUST-003696,PROD-0590,8,514.18,2026-09-02 11:00:00,delivered,2026-09-02 15:00:00
OL-000300028,ORD-00100009,CUST-002061,PROD-0846,5,3609.97,2026-09-02 12:00:00,delivered,2026-09-02 16:00:00
OL-000300029,ORD-00100009,CUST-002294,PROD-0500,1,3402.28,2026-09-02 13:00:00,placed,2026-09-02 17:00:00
OL-000300030,ORD-00100010,CUST-002835,PROD-0143,5,4164.4,2026-09-02 14:00:00,cancelled,2026-09-02 18:00:00
OL-000300031,ORD-00100010,CUST-000950,PROD-0612,8,1290.38,2026-09-02 15:00:00,delivered,2026-09-02 19:00:00
OL-000300032,ORD-00100010,CUST-001333,PROD-0509,2,1613.41,2026-09-02 16:00:00,shipped,2026-09-02 12:00:00
OL-000300033,ORD-00100011,CUST-003736,PROD-0416,1,489.59,2026-09-02 17:00:00,delivered,2026-09-02 13:00:00
OL-000300034,ORD-00100011,CUST-003943,PROD-0648,7,1908.19,2026-09-02 18:00:00,delivered,2026-09-02 14:00:00
OL-000300035,ORD-00100011,CUST-000904,PROD-0161,9,2221.26,2026-09-02 19:00:00,delivered,2026-09-02 15:00:00
OL-000300036,ORD-00100012,CUST-000057,PROD-0549,1,1681.98,2026-09-02 08:00:00,delivered,2026-09-02 16:00:00
OL-000300037,ORD-00100012,CUST-002227,PROD-0017,3,899.47,2026-09-02 09:00:00,placed,2026-09-02 17:00:00
OL-000300038,ORD-00100012,CUST-002054,PROD-0053,2,1951.64,2026-09-02 10:00:00,delivered,2026-09-02 18:00:00
OL-000300039,ORD-00100013,CUST-001151,PROD-0833,5,2005.24,2026-09-02 11:00:00,delivered,2026-09-02 19:00:00
OL-000300040,ORD-00100013,CUST-002432,PROD-0327,2,1626.17,2026-09-02 12:00:00,cancelled,2026-09-02 12:00:00
OL-000300041,ORD-00100013,CUST-003260,PROD-0211,5,196.32,2026-09-02 13:00:00,shipped,2026-09-02 13:00:00
OL-000300042,ORD-00100014,CUST-000711,PROD-0576,1,896.02,2026-09-02 14:00:00,shipped,2026-09-02 14:00:00
OL-000300043,ORD-00100014,CUST-002860,PROD-0280,3,4314.06,2026-09-02 15:00:00,delivered,2026-09-02 15:00:00
OL-000300044,ORD-00100014,CUST-001125,PROD-0153,6,1281.93,2026-09-02 16:00:00,shipped,2026-09-02 16:00:00
OL-000300045,ORD-00100015,CUST-000670,PROD-0676,7,3715.71,2026-09-02 17:00:00,delivered,2026-09-02 17:00:00
